Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_query
ant control,1300,2.93,0.5,321000000,"0.30,0.30,0.20,0.41,0.24,0.79,1.00,1.00,1.00,1.00,1.00,1.00",1,28,ant control
ant control carine,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control carine
ant control fremantle,0,0,0,0,"0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control fremantle
ant control greenwood,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control greenwood
ant control heathridge,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control heathridge
ant control joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,1.00,0.33,0.00,0.00,0.00,0.00,0.00",,0,ant control joondalup
ant control kinross,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control kinross
ant control near me,50,3.73,0.66,232000000,"0.18,1.00,0.45,0.45,0.45,0.27,0.63,1.00,0.45,0.45,0.36,0.36",3,24,ant control near me
ant control perth,480,4.23,0.57,1630000,"0.36,0.54,0.54,0.29,0.23,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,14,ant control perth
ant control scarborough,10,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,1.00,0.33",,0,ant control scarborough
ant control stirling,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00",,0,ant control stirling
ant control wa,10,0,0,0,"1.00,0.50,0.50",,0,ant control wa
ant control warwick,10,0,0,0,"0.00,0.00,0.00,0.66,0.00,0.66,0.00,0.00,0.66,0.00,0.00,0.00",,0,ant control warwick
