Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_root
pest control,18100,3.81,0.71,294000000,"0.66,0.81,0.54,0.36,0.36,0.44,0.54,0.66,0.66,0.81,0.81,0.81",0,59,pest control perth
pest control near me,12100,4.32,0.72,183000000,"1.00,1.00,0.81,0.81,0.81,0.54,0.44,0.54,0.54,0.66,0.66,0.66","1,3",44,pest control perth
exterminators close to me,6600,4.32,0.72,110,"0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44,0.54",0,44,pest control perth
pest control and,6600,3.81,0.71,255000000,"0.16,0.03,0.29,0.54,0.00,0.00,0.04,1.00,0.54,0.44,0.66,0.54","1,0",27,pest control perth
pest control pest,6600,3.81,0.71,136,"0.16,0.03,0.29,0.54,0.24,0.00,0.04,1.00,0.54,0.44,0.66,0.54",1,54,pest control perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,pest control perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,pest control perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,pest control perth
exterminators pest control services,2400,4,0.12,135,"0.54,1.00,0.65,0.65,0.36,0.03,0.22,0.65,0.54,0.54,0.81,0.81",0,47,pest control perth
pest control exterminators near me,2400,4.32,0.72,2640000,"0.24,0.07,0.54,0.02,0.01,0.00,0.16,0.01,0.00,1.00,0.81,1.00",3,56,pest control perth
termite control,2400,4.07,0.25,22800000,"0.27,0.36,0.27,0.52,0.20,0.80,1.00,1.00,1.00,1.00,1.00,1.00",1,53,pest control perth
pest,1900,3,0.21,134,"0.10,0.19,0.13,0.13,0.13,0.13,0.10,0.08,0.10,0.10,0.07,1.00",1,50,pest control perth
pest control services,1900,4,0.12,140,"0.44,0.13,0.10,0.13,0.24,0.53,0.44,0.44,0.35,0.44,0.44,0.66",1,58,pest control perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,pest control perth
exterminators for pests,1300,3.81,0.71,4270000,"0.53,0.00,1.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,49,pest control perth
flick it over,1300,4.36,0.04,82700000,"0.76,1.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,0.76,0.76,1.00",2,23,pest control perth
how much does pest control cost,1300,1.48,0.59,125,"0.52,0.52,0.52,0.25,0.11,0.68,0.68,0.84,1.00,1.00,1.00,1.00",1,8,pest control perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,pest control perth
termite pest control,1300,5.03,0.77,12200000,"0.36,0.36,0.36,0.41,0.30,0.79,1.00,1.00,0.79,0.79,0.54,0.79",0,45,pest control perth
