Keyword,Position,Search Volume,CPC,Competition,Traffic (%),Traffic Cost (%),Url,Trends,Intents,Keyword Difficulty,_competitor
jims pest control,1,260,2.56,0.51,9.58,7.85,https://www.jimspestcontrol.com.au/,"0.24,0.24,0.24,0.20,0.16,0.16,0.16,0.13,0.20,0.30,0.24,0.24",1,33.00,jimspestcontrol.com.au
jim's pest control,1,720,2.75,0.60,8.19,7.22,https://www.jimspestcontrol.com.au/,"0.76,0.67,0.76,0.55,0.45,0.36,0.36,0.36,0.55,0.76,0.67,0.67",1,28.00,jimspestcontrol.com.au
jim's termite & pest control,1,140,2.38,0.45,5.15,3.92,https://www.jimspestcontrol.com.au/,"0.80,0.26,0.42,0.53,0.42,0.42,0.26,0.53,1.00,0.11,0.65,0.65",1,30.00,jimspestcontrol.com.au
exterminators close to me,5,6600,4.32,0.72,3.91,5.42,https://www.jimspestcontrol.com.au/,"0.10,0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44",0,50.00,jimspestcontrol.com.au
jim pest control,1,320,2.75,0.60,3.63,3.20,https://www.jimspestcontrol.com.au/,"0.19,1.00,0.15,0.12,0.10,0.07,0.12,0.19,0.54,0.67,0.54,0.19",0,34.00,jimspestcontrol.com.au
jim's termite and pest control,1,210,2.38,0.45,2.39,1.81,https://www.jimspestcontrol.com.au/,"0.65,0.65,0.65,0.43,0.53,0.43,0.65,0.43,0.53,1.00,0.65,0.53",0,32.00,jimspestcontrol.com.au
end of lease flea treatment,3,390,3.77,0.80,1.42,1.71,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.44,0.35,0.35,0.54,0.54,0.54,0.66,0.66,1.00,0.81,0.66,0.54",0,8.00,jimspestcontrol.com.au
end of lease pest control,3,880,4.05,0.63,1.38,1.78,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.24,0.24,0.30,0.24,0.20,0.24,1.00,1.00,1.00,0.81,0.62,0.81",0,8.00,jimspestcontrol.com.au
pest control company,3,720,3.93,0.34,1.15,1.44,https://www.jimspestcontrol.com.au/,"0.08,0.08,0.16,0.20,0.55,0.62,0.81,1.00,0.45,0.24,0.45,0.36",0,49.00,jimspestcontrol.com.au
pest control and termite control,6,1000,4.36,0.67,1.10,1.53,https://www.jimspestcontrol.com.au/,"0.30,0.54,0.54,0.41,0.41,0.30,0.05,0.24,1.00,0.41,0.20,0.24",0,54.00,jimspestcontrol.com.au
pest control stanhope gardens,2,170,3.75,0.84,1.01,1.21,https://www.jimspestcontrol.com.au/pest-control-stanhope-gardens,"0.03,0.18,0.18,0.18,0.03,0.03,0.44,0.35,1.00,0.54,0.54,0.44",1,6.00,jimspestcontrol.com.au
