keyword,volume,keyword_difficulty,cpc_aud,competition,intent_code,funnel_stage,is_geo,priority_score,rank_target
pest control and,6600,27,3.81,0.71,"1,0",MOFU,no,858.0,yes
termite inspection,3600,23,5.37,0.28,1,MOFU,no,694.9,yes
rodent control,1900,31,3.72,0.89,1,MOFU,no,218.7,yes
pest control bayswater,480,7,6.1,0.68,1,MOFU,no,200.5,yes
ant pest control,1600,26,3.49,0.88,"1,0",MOFU,no,199.6,yes
cockroach control,1600,25,2.92,0.4,1,MOFU,no,179.2,yes
how much does pest control cost,1300,8,1.48,0.59,1,MOFU,no,179.1,yes
spider control,1300,20,2.9,0.57,0,MOFU,no,169.0,yes
spider pest control,1300,24,3.04,0.73,1,MOFU,no,154.5,yes
pest exterminator cost,1000,9,1.77,0.68,1,MOFU,no,145.8,yes
pest control and termite control,1000,32,5.03,0.77,0,MOFU,no,143.6,yes
rodent pest control,1300,33,3.72,0.89,1,MOFU,no,142.7,yes
ant control,1300,28,2.93,0.5,1,MOFU,no,134.4,yes
rodent exterminator,590,11,3.72,0.89,0,MOFU,no,132.6,yes
exterminator cost,1000,11,1.76,0.7,1,MOFU,no,131.4,yes
pest control services near me,720,21,4.61,0.34,3,MOFU,no,130.3,yes
termite treatment cost,720,8,2.24,0.5,"1,0",MOFU,no,129.6,yes
pest control prices,720,6,1.77,0.68,2,MOFU,no,124.7,yes
wasp removal near me,480,12,4.54,0.89,3,MOFU,no,120.9,yes
pest control armadale,390,6,3.84,0.8,0,MOFU,no,118.0,yes
how much does an exterminator charge,720,6,1.48,0.59,1,MOFU,no,111.6,yes
rat exterminator,720,23,3.89,0.8,0,MOFU,no,106.7,yes
bee removal,590,14,3.23,0.73,0,MOFU,no,104.0,yes
rat pest control,880,27,3.32,0.78,0,MOFU,no,102.7,yes
how much does a pest exterminator cost,720,8,1.48,0.59,1,MOFU,no,99.2,yes
wasp removal,590,22,4.16,0.89,1,MOFU,no,95.1,yes
flea treatment,1600,31,1.41,1.0,"1,0",MOFU,no,94.0,yes
termite inspection cost,480,8,2.46,0.36,"1,0",MOFU,no,92.3,yes
spider exterminator,720,24,3.2,0.68,0,MOFU,no,88.9,yes
rat pest removal,720,26,3.32,0.78,0,MOFU,no,86.4,yes
termite inspection near me,390,19,5.42,0.62,3,MOFU,no,86.3,yes
local pest control,590,34,5.24,0.78,1,MOFU,no,83.7,yes
pest control cost,720,15,1.77,0.68,1,MOFU,no,79.8,yes
bee removal near me,390,10,2.93,0.72,3,MOFU,no,76.6,yes
termite treatment near me,320,17,5.46,0.61,3,MOFU,no,76.6,yes
how much does it cost for pest control,480,6,1.48,0.59,1,MOFU,no,74.4,yes
rat and rodent control,590,24,3.12,0.91,0,MOFU,no,71.5,yes
rat control near me,390,22,4.47,0.99,"1,3",MOFU,no,66.7,yes
mice exterminator near me,480,29,4.36,0.96,3,MOFU,no,66.0,yes
pest control rockingham,390,16,3.36,0.92,0,MOFU,no,65.4,yes
ant exterminators,390,16,3.31,0.87,0,MOFU,no,64.7,yes
rat removal,590,30,2.99,0.65,1,MOFU,no,58.9,yes
spider treatment,390,21,3.44,0.98,1,MOFU,no,55.9,yes
pest control for rats,480,28,3.32,0.78,0,MOFU,no,54.6,yes
how much is pest control,390,8,1.44,0.65,1,MOFU,no,52.9,yes
mouse control,390,21,3.18,0.86,0,MOFU,no,52.6,yes
how much pest control cost,320,6,1.44,0.65,1,MOFU,no,48.8,yes
spider and pest control,320,17,3.04,0.73,0,MOFU,no,47.9,yes
mouse control near me,210,14,4.11,0.89,3,MOFU,no,44.7,yes
how much does termite treatment cost,260,4,1.36,0.46,1,MOFU,no,43.8,yes
spider removal,320,20,3.07,0.91,1,MOFU,no,43.4,yes
how much should pest control cost,260,6,1.51,0.59,1,MOFU,no,40.8,yes
millipede control,140,6,3.57,0.52,1,MOFU,no,40.0,yes
mosquito control,590,29,1.64,0.98,0,MOFU,no,39.9,yes
affordable pest control,390,29,2.47,0.53,0,MOFU,no,34.7,yes
bed bug treatment near me,260,35,4.8,0.24,"1,3",MOFU,no,33.5,yes
how long does pest control last,320,1,0.0,0.02,1,MOFU,no,29.1,yes
how often do you need pest control,590,11,0.0,0.01,1,MOFU,no,28.1,yes
what is pest control,170,8,1.83,0.1,1,MOFU,no,26.7,yes
how often should pest control be done,170,10,1.72,0.09,1,MOFU,no,23.1,yes
why pest control is important,590,16,0.0,0.17,1,MOFU,no,22.7,yes
silverfish treatment,260,23,1.67,0.96,1,MOFU,no,21.0,yes
diy termite treatment,170,3,0.57,1.0,1,MOFU,no,20.5,yes
how to choose the best pest control company,390,9,0.0,0.0,1,MOFU,no,20.5,yes
how long does pest control take,90,3,1.43,0.06,1,MOFU,no,16.8,yes
is pest control safe,90,17,3.69,0.08,1,MOFU,no,15.6,yes
how much does a pest control cost,90,6,1.48,0.59,1,MOFU,no,13.9,yes
do yourself pest control,210,16,0.32,1.0,1,MOFU,no,10.7,yes
spider control near me,50,16,4.05,0.85,3,MOFU,no,9.7,yes
is pest control the landlords responsibility qld,110,2,0.0,0.02,1,MOFU,no,9.2,yes
does ultrasonic pest control work,170,20,0.61,0.25,1,MOFU,no,9.1,yes
how to choose a pest control company,140,8,0.0,0.0,1,MOFU,no,7.8,yes
do it yourself pest control,90,11,0.82,0.99,1,MOFU,no,7.8,yes
why is pest control important,170,12,0.0,0.0,1,MOFU,no,7.7,yes
flea treatment near me,50,23,3.96,0.98,3,MOFU,no,7.5,yes
ant control near me,50,24,3.73,0.66,3,MOFU,no,7.0,yes
do landlords pay for pest control,90,6,0.0,0.02,1,MOFU,no,5.6,yes
how to do your own pest control,110,11,0.0,0.4,1,MOFU,no,5.2,yes
is pest control responsibility of landlord,90,18,0.07,0.05,1,MOFU,no,3.4,yes
what is integrated pest control,110,23,0.0,0.0,1,MOFU,no,3.3,yes
white-tail spider treatment,50,0,1.28,0.33,,MOFU,no,0,yes
how often is pest control needed,140,0,0.0,0.17,1,MOFU,no,0,yes
