Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_root
what does termite damage look like,210,0.53,0.05,12900000,"0.65,0.65,0.65,0.65,0.53,0.80,1.00,1.00,1.00,0.80,1.00,0.80",1,12,termite damage
does home insurance cover termite damage,140,7.7,0.17,0,"0.09,0.15,0.19,0.09,0.06,0.29,0.29,0.29,0.29,0.23,0.36,0.29",1,14,termite damage
does insurance cover termite damage,110,5.33,0.09,0,"0.64,0.78,0.78,0.78,0.78,1.00,0.78,0.78,0.64,1.00,1.00,1.00",1,16,termite damage
is termite damage covered by insurance,110,5.28,0.24,2860000,"0.42,0.26,0.42,0.42,0.34,0.26,0.34,0.26,0.34,0.53,0.65,0.53",1,3,termite damage
does homeowners insurance cover termite damage,90,7.7,0.17,124,"0.50,0.64,1.00,0.50,0.35,0.64,0.50,0.50,0.78,0.50,0.64,0.64",1,16,termite damage
will homeowners insurance cover termite damage,90,7.97,0.11,1120000,"0.50,0.64,1.00,0.50,0.35,0.50,0.50,0.50,0.78,0.50,0.64,0.64",1,16,termite damage
does house insurance cover termite damage,70,7.7,0.17,127,"0.63,0.63,1.00,0.81,0.45,0.63,0.63,0.63,0.81,0.63,0.81,0.81",1,9,termite damage
will home insurance cover termite damage,70,7.7,0.17,111,"0.63,0.45,1.00,0.81,0.45,0.63,0.63,0.63,0.81,0.81,0.81,0.81",1,16,termite damage
do insurance cover termite damage,40,9.42,0.16,119,"0.63,0.81,0.81,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00",1,2,termite damage
how to get insurance to cover termite damage,40,6.23,0.58,125,"0.44,0.33,0.22,0.22,0.22,0.77,0.77,0.55,0.22,0.33,0.44,0.55",1,10,termite damage
is termite damage covered by home insurance,40,5.5,0.33,0,"0.09,0.09,0.09,0.09,0.09,0.52,0.19,0.23,0.19,0.09,0.23,0.14",,0,termite damage
is termite damage covered by insurance australia,40,4.08,0.33,0,"0.18,0.18,0.18,0.18,0.18,0.45,0.63,0.36,0.27,0.27,0.45,0.45",,0,termite damage
will insurance cover termite damage,40,9.42,0.16,2840000,"0.63,0.63,0.63,0.09,0.63,0.18,0.09,0.18,0.18,0.18,0.18,0.18",1,14,termite damage
what do termite damage look like,30,0,0.03,0,"0.82,0.64,0.11,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.00",,0,termite damage
can flying termites cause damage,20,0,0.66,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.00,0.50,0.75,0.50,0.50",,0,termite damage
can termite damage be claimed on homeowners insurance,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66",,0,termite damage
